"date","load"
"2011-01-01",4295
"2011-01-02",4605
"2011-01-03",4579
"2011-01-04",4451
"2011-01-05",4424
"2011-01-06",4448
"2011-01-07",4477
"2011-01-08",4642
"2011-01-09",4887
"2011-01-10",4962
"2011-01-11",4924
"2011-01-12",4988
"2011-01-13",5104
"2011-01-14",5215
"2011-01-15",5473
"2011-01-16",5811
"2011-01-17",5928
"2011-01-18",5885
"2011-01-19",5940
"2011-01-20",6030
"2011-01-21",6087
"2011-01-22",6287
"2011-01-23",6547
"2011-01-24",6532
"2011-01-25",6328
"2011-01-26",6223
"2011-01-27",6149
"2011-01-28",6043
"2011-01-29",6082
"2011-01-30",6181
"2011-01-31",6031
"2011-02-01",5731
"2011-02-02",5547
"2011-02-03",5416
"2011-02-04",5281
"2011-02-05",5295
"2011-02-06",5384
"2011-02-07",5278
"2011-02-08",5058
"2011-02-09",4953
"2011-02-10",4906
"2011-02-11",4864
"2011-02-12",4965
"2011-02-13",5144
"2011-02-14",5138
"2011-02-15",5012
"2011-02-16",4989
"2011-02-17",5013
"2011-02-18",5028
"2011-02-19",5177
"2011-02-20",5391
"2011-02-21",5394
"2011-02-22",5251
"2011-02-23",5200
"2011-02-24",5180
"2011-02-25",5136
"2011-02-26",5215
"2011-02-27",5345
"2011-02-28",5257
